"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Input.prompt","Answer.adjective0","Answer.adjective1","Answer.adjective2","Answer.adjective3","Answer.adjective4","Answer.adjective5","Answer.adjective6","Answer.adjective7","Answer.adjective8","Answer.adjective9","Answer.not_seen.on","Answer.seen.on","Answer.type_test","Approve","Reject"
"3F6045TU7D5N79W3WM6JA7A8H7N99X","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PXX5PX6LYGNN5JZCE3GLSCZH2CBAT","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:03:42 PDT 2019","Tue Apr 09 17:05:14 PDT 2019","Fri Apr 12 17:05:14 PDT 2019","","","","92","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029","fish","red","blue","agile","funny","witty","acrobatic","wily","comedic","intelligent","strong","false","true","fish"
"3UV0D2KX1M0VBDH4IDAK3VL3YD44FO","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PDJHANYK6YWRGAIMTW0RYDBGWRH6P","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:07:36 PDT 2019","Tue Apr 09 17:08:03 PDT 2019","Fri Apr 12 17:08:03 PDT 2019","","","","27","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719","accent","red","red","red","red","red","red","red","red","red","red","false","true","accet"
"3CZH926SICV35ZH8N2QELD03MCP4E6","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3A7Y0R2P2P6511P4BG8B3O6AQSUJXQ","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:08:07 PDT 2019","Tue Apr 09 17:09:59 PDT 2019","Fri Apr 12 17:09:59 PDT 2019","","","","112","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023","sense","red","robotic","yellow","destructive","iron","metallic","metal","smart","intelligent","sarcastic","true","false","sense"
"3OWZNK3RYL6ARHZ79OMVWGP8OMN2UP","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3P4MQ7TPPYUS6FORIS3CG3W5ZKXBBO","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:05:22 PDT 2019","Tue Apr 09 17:07:32 PDT 2019","Fri Apr 12 17:07:32 PDT 2019","","","","130","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804","bulbs","stretchy","elastic","fantastic","brave","blue","older","flexible","inspiring","intelligent","charismatic","false","true","bulbs"
"3F6045TU7D5N79W3WM6JA7A8H7N99X","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PXX5PX6LYGNN5JZCE3GLSCZH2CBAT","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:03:42 PDT 2019","Tue Apr 09 17:05:14 PDT 2019","Fri Apr 12 17:05:14 PDT 2019","","","","92","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029","fish","red","blue","agile","funny","witty","acrobatic","wily","comedic","intelligent","strong","false","true","fish"
"3UV0D2KX1M0VBDH4IDAK3VL3YD44FO","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PDJHANYK6YWRGAIMTW0RYDBGWRH6P","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:07:36 PDT 2019","Tue Apr 09 17:08:03 PDT 2019","Fri Apr 12 17:08:03 PDT 2019","","","","27","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719","accent","red","red","red","red","red","red","red","red","red","red","false","true","accent"
"3CZH926SICV35ZH8N2QELD03MCP4E6","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3A7Y0R2P2P6511P4BG8B3O6AQSUJXQ","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:08:07 PDT 2019","Tue Apr 09 17:09:59 PDT 2019","Fri Apr 12 17:09:59 PDT 2019","","","","112","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023","perturbed","red","robotic","yellow","destructive","iron","metallic","metal","smart","intelligent","sarcastic","false","true","perturbed"
"3OWZNK3RYL6ARHZ79OMVWGP8OMN2UP","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3P4MQ7TPPYUS6FORIS3CG3W5ZKXBBO","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:05:22 PDT 2019","Tue Apr 09 17:07:32 PDT 2019","Fri Apr 12 17:07:32 PDT 2019","","","","130","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804","jelly","stretchy","elastic","fantastic","brave","blue","older","flexible","inspiring","intelligent","charismatic","false","true","jolly"
"3F6045TU7D5N79W3WM6JA7A8H7N99X","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PXX5PX6LYGNN5JZCE3GLSCZH2CBAT","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:03:42 PDT 2019","Tue Apr 09 17:05:14 PDT 2019","Fri Apr 12 17:05:14 PDT 2019","","","","92","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029","fresh","red","blue","agile","funny","witty","acrobatic","wily","comedic","intelligent","arachnid","false","true","fresh"
"3UV0D2KX1M0VBDH4IDAK3VL3YD44FO","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3PDJHANYK6YWRGAIMTW0RYDBGWRH6P","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:07:36 PDT 2019","Tue Apr 09 17:08:03 PDT 2019","Fri Apr 12 17:08:03 PDT 2019","","","","27","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719","trust","shielded","red","blue","white","american","patriotic","manly","masculine","disciplined","brave","false","true","trust"
"3CZH926SICV35ZH8N2QELD03MCP4E6","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3A7Y0R2P2P6511P4BG8B3O6AQSUJXQ","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:08:07 PDT 2019","Tue Apr 09 17:09:59 PDT 2019","Fri Apr 12 17:09:59 PDT 2019","","","","112","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023","sense","red","robotic","yellow","destructive","iron","metallic","metal","smart","intelligent","sarcastic","true","false","sense"
"3OWZNK3RYL6ARHZ79OMVWGP8OMN2UP","373P3486EG49HTTFX6FCWH9WT0LC8T","List words that describe a character","List adjectives that describe a comic book character from an image","character, adjectives, characterize it","$0.02","Tue Apr 09 17:02:19 PDT 2019","3","BatchId:230770;OriginalHitTemplateId:921587265;","3600","259200","Thu Apr 11 17:02:19 PDT 2019","","","3P4MQ7TPPYUS6FORIS3CG3W5ZKXBBO","AG1XA7PPOEY4Z","Submitted","Tue Apr 09 17:05:22 PDT 2019","Tue Apr 09 17:07:32 PDT 2019","Fri Apr 12 17:07:32 PDT 2019","","","","130","0% (0/0)","0% (0/0)","0% (0/0)","https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804","blessed","stretched","elastic","fantastic","brave","blue","manly","flexible","brooding","intelligent","charismatic","true","false","blessed"